,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
397,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,,,,,20,2003,356,"Nonfiction, Memoir, Biography, Iran, Books About Books, Feminism, History, Biography Memoir, Womens, Autobiography","Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time by Greg Mortenson,, Three Cups of Tea by Sarah L. Thomson,, Lolita by Vladimir Nabokov,, L'acqua del lago non è mai dolce by Giulia Caminito,, Niente di vero by Veronica Raimo,, Oliva Denaro by Viola Ardone,, Libri che mi hanno rovinato la vita e altri amori malinconici by Daria Bignardi,, Daisy Miller by Henry James,, Dulcea poveste a tristului elefant by Diana Adamek,, Dentro la vita by Luciana Boccardi,, Lipstick Jihad: A Memoir of Growing up Iranian in America and American in Iran by Azadeh Moaveni,, La paura è un peccato: Lettere da una vita straordinaria by Oriana Fallaci,, Infidel by Ayaan Hirsi Ali,, به سوی اصفهان by Pierre Loti,, Se solo il mio cuore fosse pietra by Titti Marrone,, L'Arminuta by Donatella Di Pietrantonio,, Sembrava bellezza by Teresa Ciabatti,, Borgo Sud by Donatella Di Pietrantonio",3.63,129331,30434,44901,35222,13096,5678,8204,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397751318l/7603.jpg,"Every Thursday morning for two years in the Islamic Republic of Iran, a bold and inspired teacher named Azar Nafisi secretly gathered seven of her most committed female students to read forbidden Western classics. As Islamic morality squads staged arbitrary raids in Tehran, fundamentalists seized hold of the universities, and a blind censor stifled artistic expression, the"
398,Rebecca,Daphne du Maurier,,,,August,19,1938,449,,"Jane Eyre by Charlotte Brontë,, Wuthering Heights by Emily Brontë,, The Bell Jar by Sylvia Plath,, Emma by Jane Austen,, The Secret History by Donna Tartt,, Tess of the D'Urbervilles by Thomas Hardy,, Northanger Abbey by Jane Austen,, Persuasion by Jane Austen,, The Picture of Dorian Gray by Oscar Wilde,, We Have Always Lived in the Castle by Shirley Jackson,, Sense and Sensibility by Jane Austen,, The Reading List by Sara Nisha Adams,, The Tenant of Wildfell Hall by Anne Brontë,, The Thirteenth Tale by Diane Setterfield,, And Then There Were None by Agatha Christie,, Death on the Nile (Hercule Poirot, #17) by Agatha Christie,, The Haunting of Hill House by Shirley Jackson,, Mrs de Winter by Susan         Hill",4.24,541750,257797,184857,75322,16847,6927,31796,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948.jpg,"Last night I dreamt I went to Manderley again . . .The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late"
399,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,,,,,19,1903,184,"Classics, Fiction, Childrens, Historical Fiction, Young Adult, Middle Grade, Historical, Childrens Classics, American, Literature","Pollyanna (Pollyanna, #1) by Eleanor H. Porter,, Eight Cousins (Eight Cousins, #1) by Louisa May Alcott,, Five Little Peppers and How They Grew (Five Little Peppers, #1) by Margaret Sidney,, Little Lord Fauntleroy by Frances Hodgson Burnett,, Jack and Jill by Louisa May Alcott,, Rose in Bloom (Eight Cousins, #2) by Louisa May Alcott,, Under the Lilacs by Louisa May Alcott,, Pollyanna Grows Up (Pollyanna #2) by Eleanor H. Porter,, Heidi by Johanna Spyri,, Caddie Woodlawn (Caddie Woodlawn, #1) by Carol Ryrie Brink,, An Old-Fashioned Girl by Louisa May Alcott,, Emily Climbs (Emily, #2) by L.M. Montgomery,, The Swiss Family Robinson by Johann David Wyss,, Rebecca of Sunnybrook Farm by Eliza Gatewood Warren,, What Katy Did by Susan Coolidge,, Emily of New Moon (Emily, #1) by L.M. Montgomery,, Hans Brinker, or the Silver Skates by Mary Mapes Dodge,, Elsie Dinsmore (The Original Elsie Classics #1) by Martha Finley",3.87,33904,10929,10967,9280,2147,581,862,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348026765l/17529.jpg,"First published in 1903, “Rebecca of Sunnybrook Farm” is the charming and classic children’s novel beloved the world over. Written by the American author and educator Kate Douglas Wiggin, it is the story of young and poor Rebecca Rowena Randall, who goes to live with her spinster aunts in the town of Riverboro when she is ten years-old. Rebecca’s father had died three year"
400,The Red Badge of Courage,Stephen Crane,,,,October,18,1895,149,"Classics, Fiction, Historical Fiction, War, Literature, Civil War, Historical, School, Young Adult, American","Burning Boy: The Life and Work of Stephen Crane by Paul Auster,, Johnny Tremain by Esther Forbes,, Billy Budd, Sailor by Herman Melville,, The Scarlet Letter by Nathaniel Hawthorne,, Harvey by Mary   Chase,, The Call of the Wild by Jack London,, Up from Slavery by Booker T. Washington,, Narrative of the Life of Frederick Douglass by Frederick Douglass,, The Rise of Silas Lapham by William Dean Howells,, The Adventures of Huckleberry Finn by Mark Twain,, Words Aptly Spoken: Short Stories by Jennifer Greenholt,, Born Again by Charles W. Colson,, Virginia's General: Robert E. Lee and the Civil War by Albert Marrin,, The Awakening by Kate Chopin,, Ethan Frome by Edith Wharton,, The Last of the Mohicans (The Leatherstocking Tales #2) by James Fenimore Cooper,, The Killer Angels (The Civil War Trilogy, #2) by Michael Shaara,, Hitler by Albert Marrin",3.28,98853,15217,27371,33445,15358,7462,3936,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327936136l/35220.jpg,"Henry Fleming has joined the Union army because of his romantic ideas of military life, but soon finds himself in the middle of a battle against a regiment of Confederate soldiers. Terrified, Henry deserts his comrades. Upon returning to his regiment, he struggles with his shame as he tries to redeem himself and prove his courage.The Red Badge of Courageis Stephen Crane’s"
401,The Red Tent,Anita Diamant,,,,,19,1997,324,"Historical Fiction, Fiction, Historical, Religion, Book Club, Feminism, Adult, Adult Fiction, Womens, Novels","Girl with a Pearl Earring by Tracy Chevalier,, Water for Elephants by Sara Gruen,, Memoirs of a Geisha by Arthur Golden,, The Secret Life of Bees by Sue Monk Kidd,, The Poisonwood Bible by Barbara Kingsolver,, The Help by Kathryn Stockett,, The Kite Runner by Khaled Hosseini,, The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9) by Philippa Gregory,, Sarah's Key by Tatiana de Rosnay,, The Guernsey Literary and Potato Peel Pie Society by Mary Ann Shaffer,, Gone with the Wind by Margaret Mitchell,, A Thousand Splendid Suns by Khaled Hosseini,, All the Light We Cannot See by Anthony Doerr,, Orphan Train by Christina Baker Kline,, Divine Secrets of the Ya-Ya Sisterhood by Rebecca Wells,, The Nightingale by Kristin Hannah,, Snow Flower and the Secret Fan by Lisa See,, The Pillars of the Earth (Kingsbridge, #1) by Ken Follett",4.19,558759,265320,178573,80510,23046,11310,20439,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117l/4989.jpg,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zi"
402,Rescuing Patty Hearst: Memories From a Decade Gone Mad,Virginia Holman,,,,February,25,2003,256,"Nonfiction, Memoir, Mental Illness, Biography, Mental Health, Psychology, Biography Memoir, True Story, Autobiography, History","Taken (The Coldest Fae, #1) by Katerina Martinez,, Splish, Splash, Splat! by Rob Scotton,, The Blue Table by Chris Raschka,, Bedtime Bonnet by Nancy Redd,, The Barking Ballad: A Bark-Along Meow-Along Book by Julie Paschkis,, Foxy and Egg by Alex T. Smith,, The Three Billy Goats Gruff by Jerry Pinkney,, Sickened: The Memoir of a Munchausen by Proxy Childhood by Julie Gregory,, Secrets of the Flesh: A Life of Colette by Judith Thurman,, Monsters of West Virginia: Mysterious Creatures of the Mountain State by Rosemary Ellen Guiley,, Drinking Guinness With The Dead by Justin Hamm,, When Ghosts Come Home by Wiley Cash,, The Borden Tragedy: A Memoir of the Infamous Double Murder at Fall River, Mass. 1892 (A Treasury of Victorian Murder) by Rick Geary,, The Saga of the Bloody Benders by Rick Geary,, Hungry Town: A Novel by Jason Kapcala,, Man Up: Cracking the Code of Modern Manhood by Carlos Andrés Gómez,, Jack the Ripper: A Journal of the Whitechapel Murders 1888-1889 by Rick Geary,, Panpocalypse by Carley Moore",3.59,1342,334,398,404,136,70,81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1255619315l/6984597.jpg,"In 1975, one year after Patty Hearst and her captors robbed Hibernia National Bank, a second kidnapping took place far from the glare of the headlines.Virginia Holman's mother, in the thrall of psychosis, spirited her two daughters to a cottage on the Virginia Peninsula, painted the windows black, and set up the house as a MASH unit for a secret war. A war that never came"
403,The Return of the King,J.R.R. Tolkien,3,The Lord of the Rings,4,October,20,1955,385,"Fantasy, Fiction, Classics, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy, Novels, Literature, Audiobook","A Storm of Swords (A Song of Ice and Fire, #3) by George R.R. Martin,, A Clash of Kings  (A Song of Ice and Fire, #2) by George R.R. Martin,, A Feast for Crows (A Song of Ice and Fire, #4) by George R.R. Martin,, A Dance with Dragons (A Song of Ice and Fire, #5) by George R.R. Martin,, Harry Potter and the Goblet of Fire (Harry Potter, #4) by J.K. Rowling,, Harry Potter and the Half-Blood Prince (Harry Potter, #6) by J.K. Rowling,, Harry Potter and the Order of the Phoenix (Harry Potter, #5) by J.K. Rowling,, Harry Potter and the Chamber of Secrets (Harry Potter, #2) by J.K. Rowling,, Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) by J.K. Rowling,, Harry Potter and the Deathly Hallows (Harry Potter, #7) by J.K. Rowling,, The Chronicles of Narnia (Chronicles of Narnia, #1-7) by C.S. Lewis,, Dune (Dune, #1) by Frank Herbert,, The Fellowship of the Ring (The Lord of the Rings #1) by Brian Sibley,, The Voyage of the Dawn Treader (Chronicles of Narnia, #3) by C.S. Lewis,, Eldest (The Inheritance Cycle, #2) by Christopher Paolini,, Dune Messiah (Dune Chronicles, #2) by Frank Herbert,, Prince Caspian (Chronicles of Narnia, #2) by C.S. Lewis",4.55,771601,513229,185416,57756,10921,4279,13368,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574117762l/838729._SY475_.jpg,"In the third volume of The Lord of the Rings trilogy the good and evil forces join battle, and we see that the triumph of good is not absolute. The Third Age of Middle-earth ends, and the age of the dominion of Men begins."
404,Revolution from Within: A Book of Self-Esteem,Gloria Steinem,,,,,19,1991,432,"Feminism, Nonfiction, Self Help, Psychology, Womens, Memoir, Womens Studies, Biography, Gender, Essays","Giacomo's Daughter by Diana Savone,, The Beauty Myth by Naomi Wolf,, 24 Years of House Work-- And the Place Is Still a Mess: My Life in Politics by Pat Schroeder,, All About Love: New Visions by bell hooks,, Adorning the Dark: Thoughts on Community, Calling, and the Mystery of Making by Andrew       Peterson,, Realizing the Power of Now: An In-Depth Retreat with Eckhart Tolle by Eckhart Tolle,, Her Blood Is Gold: Celebrating the Power of Menstruation by Lara Owen,, Chancers: Addiction, Prison, Recovery, Love: One Couple's Memoir by Susan Stellin,, Dear William: A Father's Memoir of Addiction, Recovery, Love, and Loss by David  Magee,, Elephant in the Classroom: The Essential Teachers' Guide to Maintaining Healthy Boundaries With Students by Anitra Lahiri,, Getting to Center: Pathways to Finding Yourself Within the Great Unknown by Marlee Grace,, Think Like a Monk: Train Your Mind for Peace and Purpose Every Day by Jay Shetty,, D.V. by Diana Vreeland,, Never Order Chicken on a Monday: Kitchen Chronicles of an Undercover Food Critic by Matthew Evans,, The Beautiful Fall: Lagerfeld, Saint Laurent, and Glorious Excess in 1970s Paris by Alicia Drake,, Gods and Kings: The Rise and Fall of Alexander McQueen and John Galliano by Dana Thomas,, Chic Savages by John Fairchild,, The End of Fashion: How Marketing Changed the Clothing Business Forever by Teri Agins",4.13,2352,957,873,411,82,29,184,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438318303l/335090._SY475_.jpg,"“Without self-esteem, the only change is an exchange of masters; with it, there is no need for masters.” —Gloria SteinemWhen trying to find books to give to “the countless brave and smart women I met who didn’t think of themselves as either brave or smart,” Gloria Steinem realized that books either supposed that external political change would cure everything or that inter"
405,Richard III,William Shakespeare,8,Wars of the Roses,8,,15,1593,414,"Classics, Plays, Drama, Fiction, Historical Fiction, Theatre, School, Literature, Poetry, Historical","Dr. Faustus by Christopher Marlowe,, Pierce Penniless, His Supplications to the Divell 1592 by Thomas Nashe,, The Jew of Malta  by Christopher Marlowe,, Death Leaves a Shadow (Marlowe Black Mystery Book 2) by Gabriel F.W. Koch,, Sir Thomas More by Anthony Munday,, The Spanish Tragedy by Thomas Kyd,, The Duchess of Malfi by John Webster,, Sir Gawain and the Green Knight by Unknown,, Volpone by Ben Jonson,, The White Devil by John Webster,, Edward II by Christopher Marlowe,, The Changeling by Thomas Middleton,, Shakespeare: The Invention of the Human by Harold Bloom,, Shakespeare's English Kings: History, Chronicle, and Drama by Peter Saccio,, Arising Son: Part One: The Guardians Of The Temple Saga by Marie Montine,, The Faerie Queene, Book One by Edmund Spenser",3.91,48791,16209,17041,11462,3192,887,2027,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328043960l/42058.jpg,"This edition of Richard III features seven scenes, opening with the Duke of Gloucester’s villainous “Winter of our discontent” speech and followed by his audacious wooing of Lady Anne. Queen Margaret’s chilling curses, Richard’s string of murders, and the haunting chants of his victims’ ghosts are stage drama at its best. The climax is a gripping battle in which the Earl o"
406,R is for Ricochet,Sue Grafton,18,Kinsey Millhone,25,July,13,2004,363,"Mystery, Fiction, Crime, Detective, Mystery Thriller, Audiobook, Suspense, Thriller, Adult, American","One Last Time (Sandy Brown #1) by Kinsey Grafton,, Seven Up (Stephanie Plum, #7) by Janet Evanovich,, Ten Big Ones (Stephanie Plum, #10) by Janet Evanovich,, Hot Six (Stephanie Plum, #6) by Janet Evanovich,, Catnap (Midnight Louie, #1) by Carole Nelson Douglas,, Eleven on Top (Stephanie Plum, #11) by Janet Evanovich,, Fearless Fourteen (Stephanie Plum, #14) by Janet Evanovich,, Finger Lickin' Fifteen (Stephanie Plum, #15) by Janet Evanovich,, Hard Eight (Stephanie Plum, #8) by Janet Evanovich,, Lean Mean Thirteen (Stephanie Plum, #13) by Janet Evanovich,, Takedown Twenty (Stephanie Plum, #20) by Janet Evanovich,, X (Kinsey Millhone Book 24): A Sidekick to the Sue Grafton Novel by Madeline M. Boles,, Explosive Eighteen (Stephanie Plum, #18) by Janet Evanovich,, Notorious Nineteen (Stephanie Plum, #19) by Janet Evanovich,, High Five (Stephanie Plum, #5) by Janet Evanovich,, To the Nines (Stephanie Plum, #9) by Janet Evanovich,, Four to Score (Stephanie Plum, #4) by Janet Evanovich,, Final Sail (Dead-End Job Mystery, #11) by Elaine Viets",3.97,32419,9825,13201,8214,976,203,975,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388265730l/64862.jpg,"Reba Lafferty was a daughter of privilege, the only child of an adoring father. Nord Lafferty was already in his fifties when Reba was born, and he could deny her nothing. Over the years, he quietly settled her many scrapes with the law, but he wasn't there for her when she was convicted of embezzlement and sent to the California Institution for Women. Now, at thirty-two,"
